id,clusterId,Date,connectionTime,disconnectTime,Time Diff,Total Hours,donechargingTime,kWhDelivered,sessionId,siteId,spaceID,stationID,timezone,userID,,userInput
5bc90cb9f9af8b0d7fe77ced,39,"Wed, 25 Apr 2018", 16:04:31 GMT, 25:42:00 GMT,09:37:29,9.62,"Wed, 25 Apr 2018 18:13:16 GMT",4.548,2_39_90_26_2018-04-25 16:04:30.761826,2,CA-316,2-39-90-26,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cee,39,"Wed, 25 Apr 2018",16:25:51 GMT, 22:30:46 GMT,06:04:55,6.08,"Wed, 25 Apr 2018 22:30:41 GMT",32.708,2_39_88_438_2018-04-25 16:25:51.104829,2,CA-502,2-39-88-438,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cef,39,"Wed, 25 Apr 2018",16:38:01 GMT,24:00:51 GMT,07:22:50,7.38,"Wed, 25 Apr 2018 18:48:11 GMT",6.764,2_39_78_363_2018-04-25 16:38:01.120020,2,CA-320,2-39-78-363,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf0,39,"Wed, 25 Apr 2018", 16:52:05 GMT,25:53:12 GMT,09:01:07,9.02,"Wed, 25 Apr 2018 21:40:57 GMT",10.879,2_39_79_378_2018-04-25 16:52:05.160592,2,CA-326,2-39-79-378,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf1,39,"Wed, 25 Apr 2018", 17:06:18 GMT, 26:10:51 GMT,09:04:33,9.08,"Wed, 25 Apr 2018 19:21:33 GMT",5.07,2_39_123_557_2018-04-25 17:06:18.267849,2,CA-503,2-39-123-557,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf2,39,"Wed, 25 Apr 2018",18:22:03 GMT, 24:24:02 GMT,06:01:59,6.03,"Thu, 26 Apr 2018 01:41:10 GMT",6.337,2_39_79_382_2018-04-25 18:22:03.219076,2,CA-491,2-39-79-382,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf3,39,"Wed, 25 Apr 2018",18:47:12 GMT,19:36:38 GMT,00:49:36,0.83,"Wed, 25 Apr 2018 19:36:31 GMT",2.375,2_39_78_366_2018-04-25 18:47:11.743708,2,CA-323,2-39-78-366,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf4,39,"Wed, 25 Apr 2018", 19:32:05 GMT,21:46:47 GMT,02:14:42,2.25,"Wed, 25 Apr 2018 21:47:47 GMT",6.523,2_39_78_362_2018-04-25 19:32:04.994953,2,CA-496,2-39-78-362,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf5,39,"Wed, 25 Apr 2018", 19:33:01 GMT,23:43:32 GMT,04:11:32,4.19,"Wed, 25 Apr 2018 20:25:58 GMT",2.203,2_39_78_367_2018-04-25 19:33:01.165970,2,CA-494,2-39-78-367,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf6,39,"Wed, 25 Apr 2018",19:40:02 GMT,24:17:12 GMT,04:37:12,4.62,"Wed, 25 Apr 2018 22:07:12 GMT",7.738,2_39_91_441_2018-04-25 19:40:02.051458,2,CA-499,2-39-91-441,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf7,39,"Wed, 25 Apr 2018",19:41:42 GMT, 24:35:28 GMT,04:54:06,4.9,"Wed, 25 Apr 2018 23:12:06 GMT",12.94,2_39_79_377_2018-04-25 19:41:42.209444,2,CA-325,2-39-79-377,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf8,39,"Wed, 25 Apr 2018", 19:43:13 GMT, 24:56:23 GMT,05:12:10,5.2,"Thu, 26 Apr 2018 00:56:17 GMT",14.328,2_39_78_366_2018-04-25 19:43:13.444818,2,CA-323,2-39-78-366,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cf9,39,"Wed, 25 Apr 2018", 20:14:50 GMT,23:56:33 GMT,03:41:43,3.7,"Wed, 25 Apr 2018 23:28:12 GMT",4.189,2_39_79_376_2018-04-25 20:14:49.585487,2,CA-324,2-39-79-376,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cfa,39,"Wed, 25 Apr 2018",20:30:49 GMT, 26:52:48 GMT,06:31:59,6.53,"Wed, 25 Apr 2018 21:05:52 GMT",0.829,2_39_125_21_2018-04-25 20:30:48.546707,2,CA-311,2-39-125-21,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cfb,39,"Wed, 25 Apr 2018",21:57:42 GMT, 27:06:25 GMT,05:08:43,5.15,"Thu, 26 Apr 2018 03:07:23 GMT",27.743,2_39_78_362_2018-04-25 21:57:41.664229,2,CA-496,2-39-78-362,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cfc,39,"Wed, 25 Apr 2018",22:17:32 GMT, 26:07:17 GMT,03:49:45,3.83,"Thu, 26 Apr 2018 01:13:17 GMT",12.692,2_39_90_440_2018-04-25 22:17:32.279706,2,CA-500,2-39-90-440,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cfd,39,"Wed, 25 Apr 2018",22:42:48 GMT,23:36:11 GMT,00:53:23,0.89,"Wed, 25 Apr 2018 23:18:46 GMT",1.304,2_39_88_438_2018-04-25 22:42:48.381752,2,CA-502,2-39-88-438,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cfe,39,"Thu, 26 Apr 2018", 00:02:16 GMT, 02:11:35 GMT,02:09:19,2.16,"Thu, 26 Apr 2018 02:00:58 GMT",11.466,2_39_79_380_2018-04-26 00:02:15.719927,2,CA-489,2-39-79-380,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77cff,39,"Thu, 26 Apr 2018", 00:03:03 GMT, 04:31:41 GMT,04:28:38,4.48,"Thu, 26 Apr 2018 03:32:19 GMT",11.695,2_39_79_379_2018-04-26 00:03:03.183150,2,CA-327,2-39-79-379,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d00,39,"Thu, 26 Apr 2018", 00:05:36 GMT, 00:31:05 GMT,00:25:29,0.42,"Thu, 26 Apr 2018 00:30:52 GMT",2.87,2_39_88_438_2018-04-26 00:05:36.143402,2,CA-502,2-39-88-438,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d01,39,"Thu, 26 Apr 2018", 00:07:10 GMT, 04:17:45 GMT,04:10:35,4.18,"Thu, 26 Apr 2018 01:16:50 GMT",2.264,2_39_79_381_2018-04-26 00:07:09.533117,2,CA-490,2-39-79-381,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d02,39,"Thu, 26 Apr 2018", 01:21:28 GMT, 11:31:13 GMT,10:09:35,10.16,"Thu, 26 Apr 2018 09:20:00 GMT",1.02,2_39_78_367_2018-04-26 01:21:27.557439,2,CA-494,2-39-78-367,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d03,39,"Thu, 26 Apr 2018",01:40:29 GMT, 04:00:22 GMT,02:19:53,2.33,"Thu, 26 Apr 2018 02:32:53 GMT",5.023,2_39_139_28_2018-04-26 01:40:28.805199,2,CA-303,2-39-139-28,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d04,39,"Thu, 26 Apr 2018", 01:48:55 GMT,04:00:36 GMT,02:12:01,2.2,"Thu, 26 Apr 2018 03:18:33 GMT",8.693,2_39_127_19_2018-04-26 01:48:54.561755,2,CA-309,2-39-127-19,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d05,39,"Thu, 26 Apr 2018", 01:49:57 GMT, 03:48:38 GMT,01:58:41,1.98,"Thu, 26 Apr 2018 02:41:30 GMT",4.915,2_39_138_29_2018-04-26 01:49:57.021388,2,CA-304,2-39-138-29,America/Los_Angeles,,,
5bc90cb9f9af8b0d7fe77d06,39,"Thu, 26 Apr 2018", 02:17:10 GMT, 04:29:39 GMT,02:12:29,2.21,"Thu, 26 Apr 2018 04:29:34 GMT",13.892,2_39_123_23_2018-04-26 02:17:10.267290,2,CA-313,2-39-123-23,America/Los_Angeles,,,
